starting_year,tuition_and_fees,,,,
1966,360,,,,
1967,366,,,,
1968,377,,,,
1969,427,,,,
1970,478,,,,
1971,526,,,,
1972,566,,,,
1973,581,,,,
1974,599,,,,
1975,642,,,,
1976,689.2205694,,,,
1977,735.9692452,,,,
1978,776.909229,,,,
1979,839.7157171,,,,
1980,914.9917191,,,,
1981,1042.10969,,,,
1982,1164,,,,
1983,1284,,,,
1984,1386,,,,
1985,1536,,,,
1986,1651.080589,,,,
1987,1726.402742,,,,
1988,1845.719375,,,,
1989,2034.525033,,,,
1990,2159.36544,,,,
1991,2409.316192,,,,
1992,2604.133911,,,,
1993,2819.940967,,,,
1994,2977.168229,,,,
1995,3151.437171,,,,
1996,3322.539855,,,,
1997,3486.295924,,,,
1998,3640.295301,,,,
1999,3768.375016,,,,
2000,3978.809745,,,,
2001,4273.032051,,,,
2002,4685.908744,,,,
2003,5362.776549,,,,
2004,5938.980109,,,,
2005,6399.205321,,,,
2006,6836.057119,,,,
2007,,,,,
2008,,,,,
2009,,,,,
2010,,,,,
2011,,,,,
2012,,,,,
2013,,,,,
2014,,,,,
2015,,,,,
2016,,,,,
2017,,,,,
