DATE,FEDMINNFRWG,month_year
10/1/38,0.25,10_1938
11/1/38,0.25,11_1938
12/1/38,0.25,12_1938
1/1/39,0.25,1_1939
2/1/39,0.25,2_1939
3/1/39,0.25,3_1939
4/1/39,0.25,4_1939
5/1/39,0.25,5_1939
6/1/39,0.25,6_1939
7/1/39,0.25,7_1939
8/1/39,0.25,8_1939
9/1/39,0.25,9_1939
10/1/39,0.3,10_1939
11/1/39,0.3,11_1939
12/1/39,0.3,12_1939
1/1/40,0.3,1_1940
2/1/40,0.3,2_1940
3/1/40,0.3,3_1940
4/1/40,0.3,4_1940
5/1/40,0.3,5_1940
6/1/40,0.3,6_1940
7/1/40,0.3,7_1940
8/1/40,0.3,8_1940
9/1/40,0.3,9_1940
10/1/40,0.3,10_1940
11/1/40,0.3,11_1940
12/1/40,0.3,12_1940
1/1/41,0.3,1_1941
2/1/41,0.3,2_1941
3/1/41,0.3,3_1941
4/1/41,0.3,4_1941
5/1/41,0.3,5_1941
6/1/41,0.3,6_1941
7/1/41,0.3,7_1941
8/1/41,0.3,8_1941
9/1/41,0.3,9_1941
10/1/41,0.3,10_1941
11/1/41,0.3,11_1941
12/1/41,0.3,12_1941
1/1/42,0.3,1_1942
2/1/42,0.3,2_1942
3/1/42,0.3,3_1942
4/1/42,0.3,4_1942
5/1/42,0.3,5_1942
6/1/42,0.3,6_1942
7/1/42,0.3,7_1942
8/1/42,0.3,8_1942
9/1/42,0.3,9_1942
10/1/42,0.3,10_1942
11/1/42,0.3,11_1942
12/1/42,0.3,12_1942
1/1/43,0.3,1_1943
2/1/43,0.3,2_1943
3/1/43,0.3,3_1943
4/1/43,0.3,4_1943
5/1/43,0.3,5_1943
6/1/43,0.3,6_1943
7/1/43,0.3,7_1943
8/1/43,0.3,8_1943
9/1/43,0.3,9_1943
10/1/43,0.3,10_1943
11/1/43,0.3,11_1943
12/1/43,0.3,12_1943
1/1/44,0.3,1_1944
2/1/44,0.3,2_1944
3/1/44,0.3,3_1944
4/1/44,0.3,4_1944
5/1/44,0.3,5_1944
6/1/44,0.3,6_1944
7/1/44,0.3,7_1944
8/1/44,0.3,8_1944
9/1/44,0.3,9_1944
10/1/44,0.3,10_1944
11/1/44,0.3,11_1944
12/1/44,0.3,12_1944
1/1/45,0.3,1_1945
2/1/45,0.3,2_1945
3/1/45,0.3,3_1945
4/1/45,0.3,4_1945
5/1/45,0.3,5_1945
6/1/45,0.3,6_1945
7/1/45,0.3,7_1945
8/1/45,0.3,8_1945
9/1/45,0.3,9_1945
10/1/45,0.4,10_1945
11/1/45,0.4,11_1945
12/1/45,0.4,12_1945
1/1/46,0.4,1_1946
2/1/46,0.4,2_1946
3/1/46,0.4,3_1946
4/1/46,0.4,4_1946
5/1/46,0.4,5_1946
6/1/46,0.4,6_1946
7/1/46,0.4,7_1946
8/1/46,0.4,8_1946
9/1/46,0.4,9_1946
10/1/46,0.4,10_1946
11/1/46,0.4,11_1946
12/1/46,0.4,12_1946
1/1/47,0.4,1_1947
2/1/47,0.4,2_1947
3/1/47,0.4,3_1947
4/1/47,0.4,4_1947
5/1/47,0.4,5_1947
6/1/47,0.4,6_1947
7/1/47,0.4,7_1947
8/1/47,0.4,8_1947
9/1/47,0.4,9_1947
10/1/47,0.4,10_1947
11/1/47,0.4,11_1947
12/1/47,0.4,12_1947
1/1/48,0.4,1_1948
2/1/48,0.4,2_1948
3/1/48,0.4,3_1948
4/1/48,0.4,4_1948
5/1/48,0.4,5_1948
6/1/48,0.4,6_1948
7/1/48,0.4,7_1948
8/1/48,0.4,8_1948
9/1/48,0.4,9_1948
10/1/48,0.4,10_1948
11/1/48,0.4,11_1948
12/1/48,0.4,12_1948
1/1/49,0.4,1_1949
2/1/49,0.4,2_1949
3/1/49,0.4,3_1949
4/1/49,0.4,4_1949
5/1/49,0.4,5_1949
6/1/49,0.4,6_1949
7/1/49,0.4,7_1949
8/1/49,0.4,8_1949
9/1/49,0.4,9_1949
10/1/49,0.4,10_1949
11/1/49,0.4,11_1949
12/1/49,0.4,12_1949
1/1/50,0.75,1_1950
2/1/50,0.75,2_1950
3/1/50,0.75,3_1950
4/1/50,0.75,4_1950
5/1/50,0.75,5_1950
6/1/50,0.75,6_1950
7/1/50,0.75,7_1950
8/1/50,0.75,8_1950
9/1/50,0.75,9_1950
10/1/50,0.75,10_1950
11/1/50,0.75,11_1950
12/1/50,0.75,12_1950
1/1/51,0.75,1_1951
2/1/51,0.75,2_1951
3/1/51,0.75,3_1951
4/1/51,0.75,4_1951
5/1/51,0.75,5_1951
6/1/51,0.75,6_1951
7/1/51,0.75,7_1951
8/1/51,0.75,8_1951
9/1/51,0.75,9_1951
10/1/51,0.75,10_1951
11/1/51,0.75,11_1951
12/1/51,0.75,12_1951
1/1/52,0.75,1_1952
2/1/52,0.75,2_1952
3/1/52,0.75,3_1952
4/1/52,0.75,4_1952
5/1/52,0.75,5_1952
6/1/52,0.75,6_1952
7/1/52,0.75,7_1952
8/1/52,0.75,8_1952
9/1/52,0.75,9_1952
10/1/52,0.75,10_1952
11/1/52,0.75,11_1952
12/1/52,0.75,12_1952
1/1/53,0.75,1_1953
2/1/53,0.75,2_1953
3/1/53,0.75,3_1953
4/1/53,0.75,4_1953
5/1/53,0.75,5_1953
6/1/53,0.75,6_1953
7/1/53,0.75,7_1953
8/1/53,0.75,8_1953
9/1/53,0.75,9_1953
10/1/53,0.75,10_1953
11/1/53,0.75,11_1953
12/1/53,0.75,12_1953
1/1/54,0.75,1_1954
2/1/54,0.75,2_1954
3/1/54,0.75,3_1954
4/1/54,0.75,4_1954
5/1/54,0.75,5_1954
6/1/54,0.75,6_1954
7/1/54,0.75,7_1954
8/1/54,0.75,8_1954
9/1/54,0.75,9_1954
10/1/54,0.75,10_1954
11/1/54,0.75,11_1954
12/1/54,0.75,12_1954
1/1/55,0.75,1_1955
2/1/55,0.75,2_1955
3/1/55,0.75,3_1955
4/1/55,0.75,4_1955
5/1/55,0.75,5_1955
6/1/55,0.75,6_1955
7/1/55,0.75,7_1955
8/1/55,0.75,8_1955
9/1/55,0.75,9_1955
10/1/55,0.75,10_1955
11/1/55,0.75,11_1955
12/1/55,0.75,12_1955
1/1/56,0.75,1_1956
2/1/56,0.75,2_1956
3/1/56,1,3_1956
4/1/56,1,4_1956
5/1/56,1,5_1956
6/1/56,1,6_1956
7/1/56,1,7_1956
8/1/56,1,8_1956
9/1/56,1,9_1956
10/1/56,1,10_1956
11/1/56,1,11_1956
12/1/56,1,12_1956
1/1/57,1,1_1957
2/1/57,1,2_1957
3/1/57,1,3_1957
4/1/57,1,4_1957
5/1/57,1,5_1957
6/1/57,1,6_1957
7/1/57,1,7_1957
8/1/57,1,8_1957
9/1/57,1,9_1957
10/1/57,1,10_1957
11/1/57,1,11_1957
12/1/57,1,12_1957
1/1/58,1,1_1958
2/1/58,1,2_1958
3/1/58,1,3_1958
4/1/58,1,4_1958
5/1/58,1,5_1958
6/1/58,1,6_1958
7/1/58,1,7_1958
8/1/58,1,8_1958
9/1/58,1,9_1958
10/1/58,1,10_1958
11/1/58,1,11_1958
12/1/58,1,12_1958
1/1/59,1,1_1959
2/1/59,1,2_1959
3/1/59,1,3_1959
4/1/59,1,4_1959
5/1/59,1,5_1959
6/1/59,1,6_1959
7/1/59,1,7_1959
8/1/59,1,8_1959
9/1/59,1,9_1959
10/1/59,1,10_1959
11/1/59,1,11_1959
12/1/59,1,12_1959
1/1/60,1,1_1960
2/1/60,1,2_1960
3/1/60,1,3_1960
4/1/60,1,4_1960
5/1/60,1,5_1960
6/1/60,1,6_1960
7/1/60,1,7_1960
8/1/60,1,8_1960
9/1/60,1,9_1960
10/1/60,1,10_1960
11/1/60,1,11_1960
12/1/60,1,12_1960
1/1/61,1,1_1961
2/1/61,1,2_1961
3/1/61,1,3_1961
4/1/61,1,4_1961
5/1/61,1,5_1961
6/1/61,1,6_1961
7/1/61,1,7_1961
8/1/61,1,8_1961
9/1/61,1.15,9_1961
10/1/61,1.15,10_1961
11/1/61,1.15,11_1961
12/1/61,1.15,12_1961
1/1/62,1.15,1_1962
2/1/62,1.15,2_1962
3/1/62,1.15,3_1962
4/1/62,1.15,4_1962
5/1/62,1.15,5_1962
6/1/62,1.15,6_1962
7/1/62,1.15,7_1962
8/1/62,1.15,8_1962
9/1/62,1.15,9_1962
10/1/62,1.15,10_1962
11/1/62,1.15,11_1962
12/1/62,1.15,12_1962
1/1/63,1.15,1_1963
2/1/63,1.15,2_1963
3/1/63,1.15,3_1963
4/1/63,1.15,4_1963
5/1/63,1.15,5_1963
6/1/63,1.15,6_1963
7/1/63,1.15,7_1963
8/1/63,1.15,8_1963
9/1/63,1.25,9_1963
10/1/63,1.25,10_1963
11/1/63,1.25,11_1963
12/1/63,1.25,12_1963
1/1/64,1.25,1_1964
2/1/64,1.25,2_1964
3/1/64,1.25,3_1964
4/1/64,1.25,4_1964
5/1/64,1.25,5_1964
6/1/64,1.25,6_1964
7/1/64,1.25,7_1964
8/1/64,1.25,8_1964
9/1/64,1.25,9_1964
10/1/64,1.25,10_1964
11/1/64,1.25,11_1964
12/1/64,1.25,12_1964
1/1/65,1.25,1_1965
2/1/65,1.25,2_1965
3/1/65,1.25,3_1965
4/1/65,1.25,4_1965
5/1/65,1.25,5_1965
6/1/65,1.25,6_1965
7/1/65,1.25,7_1965
8/1/65,1.25,8_1965
9/1/65,1.25,9_1965
10/1/65,1.25,10_1965
11/1/65,1.25,11_1965
12/1/65,1.25,12_1965
1/1/66,1.25,1_1966
2/1/66,1.25,2_1966
3/1/66,1.25,3_1966
4/1/66,1.25,4_1966
5/1/66,1.25,5_1966
6/1/66,1.25,6_1966
7/1/66,1.25,7_1966
8/1/66,1.25,8_1966
9/1/66,1.25,9_1966
10/1/66,1.25,10_1966
11/1/66,1.25,11_1966
12/1/66,1.25,12_1966
1/1/67,1.25,1_1967
2/1/67,1.4,2_1967
3/1/67,1.4,3_1967
4/1/67,1.4,4_1967
5/1/67,1.4,5_1967
6/1/67,1.4,6_1967
7/1/67,1.4,7_1967
8/1/67,1.4,8_1967
9/1/67,1.4,9_1967
10/1/67,1.4,10_1967
11/1/67,1.4,11_1967
12/1/67,1.4,12_1967
1/1/68,1.4,1_1968
2/1/68,1.6,2_1968
3/1/68,1.6,3_1968
4/1/68,1.6,4_1968
5/1/68,1.6,5_1968
6/1/68,1.6,6_1968
7/1/68,1.6,7_1968
8/1/68,1.6,8_1968
9/1/68,1.6,9_1968
10/1/68,1.6,10_1968
11/1/68,1.6,11_1968
12/1/68,1.6,12_1968
1/1/69,1.6,1_1969
2/1/69,1.6,2_1969
3/1/69,1.6,3_1969
4/1/69,1.6,4_1969
5/1/69,1.6,5_1969
6/1/69,1.6,6_1969
7/1/69,1.6,7_1969
8/1/69,1.6,8_1969
9/1/69,1.6,9_1969
10/1/69,1.6,10_1969
11/1/69,1.6,11_1969
12/1/69,1.6,12_1969
1/1/70,1.6,1_1970
2/1/70,1.6,2_1970
3/1/70,1.6,3_1970
4/1/70,1.6,4_1970
5/1/70,1.6,5_1970
6/1/70,1.6,6_1970
7/1/70,1.6,7_1970
8/1/70,1.6,8_1970
9/1/70,1.6,9_1970
10/1/70,1.6,10_1970
11/1/70,1.6,11_1970
12/1/70,1.6,12_1970
1/1/71,1.6,1_1971
2/1/71,1.6,2_1971
3/1/71,1.6,3_1971
4/1/71,1.6,4_1971
5/1/71,1.6,5_1971
6/1/71,1.6,6_1971
7/1/71,1.6,7_1971
8/1/71,1.6,8_1971
9/1/71,1.6,9_1971
10/1/71,1.6,10_1971
11/1/71,1.6,11_1971
12/1/71,1.6,12_1971
1/1/72,1.6,1_1972
2/1/72,1.6,2_1972
3/1/72,1.6,3_1972
4/1/72,1.6,4_1972
5/1/72,1.6,5_1972
6/1/72,1.6,6_1972
7/1/72,1.6,7_1972
8/1/72,1.6,8_1972
9/1/72,1.6,9_1972
10/1/72,1.6,10_1972
11/1/72,1.6,11_1972
12/1/72,1.6,12_1972
1/1/73,1.6,1_1973
2/1/73,1.6,2_1973
3/1/73,1.6,3_1973
4/1/73,1.6,4_1973
5/1/73,1.6,5_1973
6/1/73,1.6,6_1973
7/1/73,1.6,7_1973
8/1/73,1.6,8_1973
9/1/73,1.6,9_1973
10/1/73,1.6,10_1973
11/1/73,1.6,11_1973
12/1/73,1.6,12_1973
1/1/74,1.6,1_1974
2/1/74,1.6,2_1974
3/1/74,1.6,3_1974
4/1/74,1.6,4_1974
5/1/74,2,5_1974
6/1/74,2,6_1974
7/1/74,2,7_1974
8/1/74,2,8_1974
9/1/74,2,9_1974
10/1/74,2,10_1974
11/1/74,2,11_1974
12/1/74,2,12_1974
1/1/75,2.1,1_1975
2/1/75,2.1,2_1975
3/1/75,2.1,3_1975
4/1/75,2.1,4_1975
5/1/75,2.1,5_1975
6/1/75,2.1,6_1975
7/1/75,2.1,7_1975
8/1/75,2.1,8_1975
9/1/75,2.1,9_1975
10/1/75,2.1,10_1975
11/1/75,2.1,11_1975
12/1/75,2.1,12_1975
1/1/76,2.3,1_1976
2/1/76,2.3,2_1976
3/1/76,2.3,3_1976
4/1/76,2.3,4_1976
5/1/76,2.3,5_1976
6/1/76,2.3,6_1976
7/1/76,2.3,7_1976
8/1/76,2.3,8_1976
9/1/76,2.3,9_1976
10/1/76,2.3,10_1976
11/1/76,2.3,11_1976
12/1/76,2.3,12_1976
1/1/77,2.3,1_1977
2/1/77,2.3,2_1977
3/1/77,2.3,3_1977
4/1/77,2.3,4_1977
5/1/77,2.3,5_1977
6/1/77,2.3,6_1977
7/1/77,2.3,7_1977
8/1/77,2.3,8_1977
9/1/77,2.3,9_1977
10/1/77,2.3,10_1977
11/1/77,2.3,11_1977
12/1/77,2.3,12_1977
1/1/78,2.65,1_1978
2/1/78,2.65,2_1978
3/1/78,2.65,3_1978
4/1/78,2.65,4_1978
5/1/78,2.65,5_1978
6/1/78,2.65,6_1978
7/1/78,2.65,7_1978
8/1/78,2.65,8_1978
9/1/78,2.65,9_1978
10/1/78,2.65,10_1978
11/1/78,2.65,11_1978
12/1/78,2.65,12_1978
1/1/79,2.9,1_1979
2/1/79,2.9,2_1979
3/1/79,2.9,3_1979
4/1/79,2.9,4_1979
5/1/79,2.9,5_1979
6/1/79,2.9,6_1979
7/1/79,2.9,7_1979
8/1/79,2.9,8_1979
9/1/79,2.9,9_1979
10/1/79,2.9,10_1979
11/1/79,2.9,11_1979
12/1/79,2.9,12_1979
1/1/80,3.1,1_1980
2/1/80,3.1,2_1980
3/1/80,3.1,3_1980
4/1/80,3.1,4_1980
5/1/80,3.1,5_1980
6/1/80,3.1,6_1980
7/1/80,3.1,7_1980
8/1/80,3.1,8_1980
9/1/80,3.1,9_1980
10/1/80,3.1,10_1980
11/1/80,3.1,11_1980
12/1/80,3.1,12_1980
1/1/81,3.35,1_1981
2/1/81,3.35,2_1981
3/1/81,3.35,3_1981
4/1/81,3.35,4_1981
5/1/81,3.35,5_1981
6/1/81,3.35,6_1981
7/1/81,3.35,7_1981
8/1/81,3.35,8_1981
9/1/81,3.35,9_1981
10/1/81,3.35,10_1981
11/1/81,3.35,11_1981
12/1/81,3.35,12_1981
1/1/82,3.35,1_1982
2/1/82,3.35,2_1982
3/1/82,3.35,3_1982
4/1/82,3.35,4_1982
5/1/82,3.35,5_1982
6/1/82,3.35,6_1982
7/1/82,3.35,7_1982
8/1/82,3.35,8_1982
9/1/82,3.35,9_1982
10/1/82,3.35,10_1982
11/1/82,3.35,11_1982
12/1/82,3.35,12_1982
1/1/83,3.35,1_1983
2/1/83,3.35,2_1983
3/1/83,3.35,3_1983
4/1/83,3.35,4_1983
5/1/83,3.35,5_1983
6/1/83,3.35,6_1983
7/1/83,3.35,7_1983
8/1/83,3.35,8_1983
9/1/83,3.35,9_1983
10/1/83,3.35,10_1983
11/1/83,3.35,11_1983
12/1/83,3.35,12_1983
1/1/84,3.35,1_1984
2/1/84,3.35,2_1984
3/1/84,3.35,3_1984
4/1/84,3.35,4_1984
5/1/84,3.35,5_1984
6/1/84,3.35,6_1984
7/1/84,3.35,7_1984
8/1/84,3.35,8_1984
9/1/84,3.35,9_1984
10/1/84,3.35,10_1984
11/1/84,3.35,11_1984
12/1/84,3.35,12_1984
1/1/85,3.35,1_1985
2/1/85,3.35,2_1985
3/1/85,3.35,3_1985
4/1/85,3.35,4_1985
5/1/85,3.35,5_1985
6/1/85,3.35,6_1985
7/1/85,3.35,7_1985
8/1/85,3.35,8_1985
9/1/85,3.35,9_1985
10/1/85,3.35,10_1985
11/1/85,3.35,11_1985
12/1/85,3.35,12_1985
1/1/86,3.35,1_1986
2/1/86,3.35,2_1986
3/1/86,3.35,3_1986
4/1/86,3.35,4_1986
5/1/86,3.35,5_1986
6/1/86,3.35,6_1986
7/1/86,3.35,7_1986
8/1/86,3.35,8_1986
9/1/86,3.35,9_1986
10/1/86,3.35,10_1986
11/1/86,3.35,11_1986
12/1/86,3.35,12_1986
1/1/87,3.35,1_1987
2/1/87,3.35,2_1987
3/1/87,3.35,3_1987
4/1/87,3.35,4_1987
5/1/87,3.35,5_1987
6/1/87,3.35,6_1987
7/1/87,3.35,7_1987
8/1/87,3.35,8_1987
9/1/87,3.35,9_1987
10/1/87,3.35,10_1987
11/1/87,3.35,11_1987
12/1/87,3.35,12_1987
1/1/88,3.35,1_1988
2/1/88,3.35,2_1988
3/1/88,3.35,3_1988
4/1/88,3.35,4_1988
5/1/88,3.35,5_1988
6/1/88,3.35,6_1988
7/1/88,3.35,7_1988
8/1/88,3.35,8_1988
9/1/88,3.35,9_1988
10/1/88,3.35,10_1988
11/1/88,3.35,11_1988
12/1/88,3.35,12_1988
1/1/89,3.35,1_1989
2/1/89,3.35,2_1989
3/1/89,3.35,3_1989
4/1/89,3.35,4_1989
5/1/89,3.35,5_1989
6/1/89,3.35,6_1989
7/1/89,3.35,7_1989
8/1/89,3.35,8_1989
9/1/89,3.35,9_1989
10/1/89,3.35,10_1989
11/1/89,3.35,11_1989
12/1/89,3.35,12_1989
1/1/90,3.35,1_1990
2/1/90,3.35,2_1990
3/1/90,3.35,3_1990
4/1/90,3.8,4_1990
5/1/90,3.8,5_1990
6/1/90,3.8,6_1990
7/1/90,3.8,7_1990
8/1/90,3.8,8_1990
9/1/90,3.8,9_1990
10/1/90,3.8,10_1990
11/1/90,3.8,11_1990
12/1/90,3.8,12_1990
1/1/91,3.8,1_1991
2/1/91,3.8,2_1991
3/1/91,3.8,3_1991
4/1/91,4.25,4_1991
5/1/91,4.25,5_1991
6/1/91,4.25,6_1991
7/1/91,4.25,7_1991
8/1/91,4.25,8_1991
9/1/91,4.25,9_1991
10/1/91,4.25,10_1991
11/1/91,4.25,11_1991
12/1/91,4.25,12_1991
1/1/92,4.25,1_1992
2/1/92,4.25,2_1992
3/1/92,4.25,3_1992
4/1/92,4.25,4_1992
5/1/92,4.25,5_1992
6/1/92,4.25,6_1992
7/1/92,4.25,7_1992
8/1/92,4.25,8_1992
9/1/92,4.25,9_1992
10/1/92,4.25,10_1992
11/1/92,4.25,11_1992
12/1/92,4.25,12_1992
1/1/93,4.25,1_1993
2/1/93,4.25,2_1993
3/1/93,4.25,3_1993
4/1/93,4.25,4_1993
5/1/93,4.25,5_1993
6/1/93,4.25,6_1993
7/1/93,4.25,7_1993
8/1/93,4.25,8_1993
9/1/93,4.25,9_1993
10/1/93,4.25,10_1993
11/1/93,4.25,11_1993
12/1/93,4.25,12_1993
1/1/94,4.25,1_1994
2/1/94,4.25,2_1994
3/1/94,4.25,3_1994
4/1/94,4.25,4_1994
5/1/94,4.25,5_1994
6/1/94,4.25,6_1994
7/1/94,4.25,7_1994
8/1/94,4.25,8_1994
9/1/94,4.25,9_1994
10/1/94,4.25,10_1994
11/1/94,4.25,11_1994
12/1/94,4.25,12_1994
1/1/95,4.25,1_1995
2/1/95,4.25,2_1995
3/1/95,4.25,3_1995
4/1/95,4.25,4_1995
5/1/95,4.25,5_1995
6/1/95,4.25,6_1995
7/1/95,4.25,7_1995
8/1/95,4.25,8_1995
9/1/95,4.25,9_1995
10/1/95,4.25,10_1995
11/1/95,4.25,11_1995
12/1/95,4.25,12_1995
1/1/96,4.25,1_1996
2/1/96,4.25,2_1996
3/1/96,4.25,3_1996
4/1/96,4.25,4_1996
5/1/96,4.25,5_1996
6/1/96,4.25,6_1996
7/1/96,4.25,7_1996
8/1/96,4.25,8_1996
9/1/96,4.25,9_1996
10/1/96,4.75,10_1996
11/1/96,4.75,11_1996
12/1/96,4.75,12_1996
1/1/97,4.75,1_1997
2/1/97,4.75,2_1997
3/1/97,4.75,3_1997
4/1/97,4.75,4_1997
5/1/97,4.75,5_1997
6/1/97,4.75,6_1997
7/1/97,4.75,7_1997
8/1/97,4.75,8_1997
9/1/97,5.15,9_1997
10/1/97,5.15,10_1997
11/1/97,5.15,11_1997
12/1/97,5.15,12_1997
1/1/98,5.15,1_1998
2/1/98,5.15,2_1998
3/1/98,5.15,3_1998
4/1/98,5.15,4_1998
5/1/98,5.15,5_1998
6/1/98,5.15,6_1998
7/1/98,5.15,7_1998
8/1/98,5.15,8_1998
9/1/98,5.15,9_1998
10/1/98,5.15,10_1998
11/1/98,5.15,11_1998
12/1/98,5.15,12_1998
1/1/99,5.15,1_1999
2/1/99,5.15,2_1999
3/1/99,5.15,3_1999
4/1/99,5.15,4_1999
5/1/99,5.15,5_1999
6/1/99,5.15,6_1999
7/1/99,5.15,7_1999
8/1/99,5.15,8_1999
9/1/99,5.15,9_1999
10/1/99,5.15,10_1999
11/1/99,5.15,11_1999
12/1/99,5.15,12_1999
1/1/00,5.15,1_2000
2/1/00,5.15,2_2000
3/1/00,5.15,3_2000
4/1/00,5.15,4_2000
5/1/00,5.15,5_2000
6/1/00,5.15,6_2000
7/1/00,5.15,7_2000
8/1/00,5.15,8_2000
9/1/00,5.15,9_2000
10/1/00,5.15,10_2000
11/1/00,5.15,11_2000
12/1/00,5.15,12_2000
1/1/01,5.15,1_2001
2/1/01,5.15,2_2001
3/1/01,5.15,3_2001
4/1/01,5.15,4_2001
5/1/01,5.15,5_2001
6/1/01,5.15,6_2001
7/1/01,5.15,7_2001
8/1/01,5.15,8_2001
9/1/01,5.15,9_2001
10/1/01,5.15,10_2001
11/1/01,5.15,11_2001
12/1/01,5.15,12_2001
1/1/02,5.15,1_2002
2/1/02,5.15,2_2002
3/1/02,5.15,3_2002
4/1/02,5.15,4_2002
5/1/02,5.15,5_2002
6/1/02,5.15,6_2002
7/1/02,5.15,7_2002
8/1/02,5.15,8_2002
9/1/02,5.15,9_2002
10/1/02,5.15,10_2002
11/1/02,5.15,11_2002
12/1/02,5.15,12_2002
1/1/03,5.15,1_2003
2/1/03,5.15,2_2003
3/1/03,5.15,3_2003
4/1/03,5.15,4_2003
5/1/03,5.15,5_2003
6/1/03,5.15,6_2003
7/1/03,5.15,7_2003
8/1/03,5.15,8_2003
9/1/03,5.15,9_2003
10/1/03,5.15,10_2003
11/1/03,5.15,11_2003
12/1/03,5.15,12_2003
1/1/04,5.15,1_2004
2/1/04,5.15,2_2004
3/1/04,5.15,3_2004
4/1/04,5.15,4_2004
5/1/04,5.15,5_2004
6/1/04,5.15,6_2004
7/1/04,5.15,7_2004
8/1/04,5.15,8_2004
9/1/04,5.15,9_2004
10/1/04,5.15,10_2004
11/1/04,5.15,11_2004
12/1/04,5.15,12_2004
1/1/05,5.15,1_2005
2/1/05,5.15,2_2005
3/1/05,5.15,3_2005
4/1/05,5.15,4_2005
5/1/05,5.15,5_2005
6/1/05,5.15,6_2005
7/1/05,5.15,7_2005
8/1/05,5.15,8_2005
9/1/05,5.15,9_2005
10/1/05,5.15,10_2005
11/1/05,5.15,11_2005
12/1/05,5.15,12_2005
1/1/06,5.15,1_2006
2/1/06,5.15,2_2006
3/1/06,5.15,3_2006
